file_path,emotion,transcript,label,prosody_text
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_back_fear.wav,fear,back,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bar_fear.wav,fear,bar,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_base_fear.wav,fear,base,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bath_fear.wav,fear,bath,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bean_fear.wav,fear,bean,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_beg_fear.wav,fear,beg,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, normal speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bite_fear.wav,fear,bite,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_boat_fear.wav,fear,boat,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_bone_fear.wav,fear,bone,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, slow speaking rate, dark warm timbre, clear tonal quality."
/content/data/TESS Toronto emotional speech set data/OAF_Fear/OAF_book_fear.wav,fear,book,2,"The speaker has quiet and soft voice, high pitched tone, wide pitch variation, unstable fluctuating pitch, slow speaking rate, dark warm timbre."
